Case_ID,Jurisdiction,Case_Year,Case_Type,Outcome,Cross_Jurisdictional,Finance,Customer,Internal_Process,Learning_and_Growth,Industry_Scale_and_Influence,Local_Development_Foundation,Market_Potential,Team_Source_Contribution,Customer_Satisfaction,Customer_Complaint_Number,Team_Collaboration,Business_Performance_Assessment,Public_Culture_Activities,Training_Record,Papers_and_Publications,Globalized_Individuals,Institutional_Size,High_Quality_Law_Firms,Global_Legal_Connections,Local_Economic_Development,Population_Size,Talent_Reserve_Pool,Service_Sector_Level,Article_Prediction,Cause_Prediction,Penalty_Prediction,Case_Analysis,Financial_Calculation,Liability_Score,Cross_Border_Compliance
FLC-2023-0000,Region B,2022,Civil,Settlement,True,727023.55,6.7,6.0,5.7,8.3,3.4,8.3,9.7,6.7,1,5.1,5.9,1.8,6,4,3,24.2,True,9,5.2,528035,6.8,7.3,Art. 45 Civil Code,Breach of Contract,36053.66,Assess plaintiff claims -> Review evidence -> Determine outcome,353459.63,0.49,0.96
FLC-2024-0001,Region D,2017,Civil,Settlement,True,350061.12,8.2,8.1,7.3,5.1,9.6,7.4,6.9,8.2,1,6.9,5.5,6.8,7,3,4,170.0,True,2,9.5,461337,8.3,6.6,Art. 45 Civil Code,Breach of Contract,7264.69,Review charges -> Evaluate evidence -> Determine verdict,152995.09,0.44,0.96
FLC-2025-0002,Region E,2019,Civil,Settlement,True,7119250.72,4.7,7.5,9.8,8.0,4.9,5.8,5.8,4.7,0,2.7,9.9,7.7,8,2,2,147.2,True,2,9.0,13666,5.4,6.8,Art. 45 Civil Code,Breach of Contract,182869.69,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,4409407.41,0.62,0.92
FLC-2023-0003,Region D,2017,Criminal,Settlement,False,90826.45,6.3,7.5,6.4,7.8,5.7,9.8,9.2,6.3,4,4.7,7.8,7.7,7,2,0,147.9,False,9,5.1,969140,6.0,9.5,Art. 12 Penal Code,Fraud,148534.08,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,31715.2,0.35,0.71
FLC-2024-0004,Region C,2021,Civil,Settlement,True,6159635.86,6.4,5.7,5.8,9.6,8.7,7.8,9.4,6.4,3,6.0,6.1,4.2,7,3,0,77.2,False,0,6.4,985346,7.1,9.1,Art. 45 Civil Code,Breach of Contract,32799.36,Check applicable law -> Compute damages -> Advise resolution,2448399.27,0.4,0.82
FLC-2025-0005,Region A,2020,Criminal,Win,False,4356702.33,7.3,5.3,7.8,7.0,3.5,5.5,6.2,7.3,1,5.5,8.6,1.5,8,0,2,129.7,False,1,7.1,395070,6.4,9.5,Art. 12 Penal Code,Fraud,12124.38,Check jurisdiction -> Assess contract clauses -> Compute liability,1021570.0,0.23,0.63
FLC-2023-0006,Region C,2015,Commercial,Loss,False,249020.57,6.4,8.4,6.8,8.2,7.4,7.2,5.5,6.4,0,5.9,5.8,5.1,3,3,3,142.0,True,2,8.6,752102,6.1,8.2,Art. 25 CISG,Cross-Border Dispute,137267.39,Review charges -> Evaluate evidence -> Determine verdict,89112.06,0.36,0.53
FLC-2024-0007,Region A,2023,Administrative,Settlement,True,140113.41,4.1,4.7,9.6,9.4,4.8,8.0,9.1,4.1,0,3.1,7.6,2.6,1,3,4,182.1,False,6,6.7,381002,8.5,9.2,Art. 5 Admin Law,Regulatory Violation,284883.59,Check applicable law -> Compute damages -> Advise resolution,91582.83,0.65,0.71
FLC-2025-0008,Region B,2016,International Treaty,Settlement,False,332538.43,4.7,5.0,7.7,8.5,7.6,5.3,8.6,4.7,0,4.3,7.5,1.8,8,2,0,75.5,True,2,8.2,935933,6.2,9.9,Art. 97,Cross-Border Dispute,17680.89,Review charges -> Evaluate evidence -> Determine verdict,234948.13,0.71,0.49
FLC-2023-0009,Region B,2015,Criminal,Win,False,375306.97,5.3,5.2,8.6,6.4,3.2,7.9,5.9,5.3,3,4.8,7.3,2.8,6,2,3,22.8,True,7,6.7,132373,9.8,9.8,Art. 12 Penal Code,Fraud,117746.89,Check jurisdiction -> Assess contract clauses -> Compute liability,220630.72,0.59,0.58
